AHK Function;code line;AHK File
"CALLTIPSHOW(posStart=0,definition="""")";211;_Scintilla.ahk
CALLTIPUSESTYLE(tabsize=0);215;_Scintilla.ahk
CANCEL();1594;_Scintilla.ahk
Cancel();196;CGui.ahk
Cancel();2201;uia.ahk
Cancel();1635;UIA2.ahk
Cancel();181;WPD.ahk
Cancel();644;WPD.ahk
Cancel();743;WPD.ahk
Cancel();786;WPD.ahk
Cancel();883;WPD.ahk
Cancel();988;WPD.ahk
Cancel();1199;WPD.ahk
Cancel();1287;WPD.ahk
Cancel();1504;WPD.ahk
Cancel(pCallback);1537;WPD.ahk
Cancel(pCallback);1569;WPD.ahk
Cancel(pContext);1073;WPD.ahk
CanConvert(srcPixelFormat,dstPixelFormat);478;wic.ahk
CANPASTE();218;_Scintilla.ahk
CANREDO();221;_Scintilla.ahk
canShorten(item);924;FC.ahk
CANUNDO();224;_Scintilla.ahk
Capabilities();170;WPD.ahk
Capabilities();1261;WPD.ahk
"Capacity(_key_="""")";346;_Struct.ahk
"CB_Add(String="""", Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";52;CB.ahk
"CB_Delete(Pos=-1, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";78;CB.ahk
"CB_Find(String, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";92;CB.ahk
"CB_FindExact(String, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";98;CB.ahk
"CB_Get(Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";42;CB.ahk
"CB_GetCount(Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";114;CB.ahk
"CB_GetText(Pos=-1, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";119;CB.ahk
"CB_Insert(String="""", Pos=-1, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";59;CB.ahk
"CB_Modify(String="""", Pos=-1, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";68;CB.ahk
"CB_Reset(Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";87;CB.ahk
"CB_Select(String, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";104;CB.ahk
"CB_Set(Pos=0, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";47;CB.ahk
"CB_Show(Flag=True, Control=""ComboBox1"", Window=""ahk_class AutoHotkeyGUI"")";109;CB.ahk
"CColor(Hwnd, Background="""", Foreground="""")";26;CColor.ahk
CColor_(Wp, Lp, Msg, Hwnd);30;CColor.ahk
cdomessage(sFrom, sTo, sSubject, sBody, sAttach, sServer, sUsername, sPassword, bTLS = True, nPort = 25, nSend = 2, nAuth = 1);19;cdomessage.ahk
CenterWindow(aWidth,aHeight);1482;MISC Functions.ahk
CHANGELEXERSTATE(startPos=0,endPos=0);227;_Scintilla.ahk
ChangeLuminosity(c, l = 0);453;Class_GdipTooltip.ahk
Changes();77;DataBaseADO.ahk
Changes();66;DataBaseMySQL.ahk
Changes();71;DataBaseSQLLite.ahk
Changes();77;Mini_Framwork\0.3\System\MfUnicode\MfUcdDb.ahk
ChangeType(vt);1120;WPD.ahk
changeViewPortMatrix(byref matrix, x, y, w, h, MaxZ=1, MinZ=0);459;d3D.ahk
CHARLEFT();1597;_Scintilla.ahk
CHARLEFTEXTEND();1600;_Scintilla.ahk
CHARLEFTRECTEXTEND();1603;_Scintilla.ahk
CHARPOSITIONFROMPOINT(x=0,y=0);230;_Scintilla.ahk
CHARPOSITIONFROMPOINTCLOSE(x=0,y=0);233;_Scintilla.ahk
CHARRIGHT();1606;_Scintilla.ahk
CHARRIGHTEXTEND();1609;_Scintilla.ahk
CHARRIGHTRECTEXTEND();1612;_Scintilla.ahk
Check();146;CMenuItem.ahk
CheckDeviceState();280;dcomp.ahk
CheckEolReplacement(strData, strEolReplacement, ByRef strEol);1221;ObjCSV.ahk
CheckGroupSize(propName, groupSize);97;Mini_Framwork\0.3\System\MfNumberFormatInfo.ahk
"CheckHexC(s, d = """")";19;rgbToHex.ahk
CheckLetter(uc);1769;Mini_Framwork\0.3\System\MfChar.ahk
CheckLetterOrDigit(uc);1781;Mini_Framwork\0.3\System\MfChar.ahk
CheckNotSupported(value);487;uia.ahk
CheckNotSupported(value);203;UIA_Interface.ahk
CheckNotSupported(value);342;UIA2.ahk
CheckNumber(uc);1794;Mini_Framwork\0.3\System\MfChar.ahk
CheckPunctuation(uc);1804;Mini_Framwork\0.3\System\MfChar.ahk
CheckQuotes(Path);2699;MISC Functions.ahk
CheckSeparator(uc);1818;Mini_Framwork\0.3\System\MfChar.ahk
checkSession(_msgHandler,_params=0);45;Mini_Libs\checkSession.ahk
checkSession_msgHandler(wParam,lParam,msg,hwnd);51;Mini_Libs\checkSession.ahk
CheckSurface(p1);1;SurfaceHooks.ahk
CheckSymbol(uc);1828;Mini_Framwork\0.3\System\MfChar.ahk
CheckWindowState();666;d2d1.ahk
Child();1466;uia.ahk
Child();1080;UIA2.ahk
Children();1427;uia.ahk
Children();1455;uia.ahk
Children();1050;UIA2.ahk
Children();1071;UIA2.ahk
ChildrenAsNativeArray();1418;uia.ahk
ChildrenAsNativeArray();1446;uia.ahk
ChildrenAsNativeArray();1044;UIA2.ahk
ChildrenAsNativeArray();1065;UIA2.ahk
CHOOSECARETX();236;_Scintilla.ahk
cicleColor(clr);239;Lib.ahk
CIniFile_New(fileName);8;CIniFile.ahk
Clean_HL7(p_HL7_Text, p_Array_Of_Delimiter_Needles, p_Escaped_Escape_Character);238;HL7.ahk
cleancolon(txt);2731;MISC Functions.ahk
cleanlines(ByRef txt);2718;MISC Functions.ahk
cleanspace(ByRef txt);2739;MISC Functions.ahk
CLEAR();239;_Scintilla.ahk
Clear();26;Collection.ahk
Clear();95;Mini_Framwork\0.3\System\MfCollectionBase.ahk
Clear();124;Mini_Framwork\0.3\System\MfDictionarybase.ahk
Clear();128;Mini_Framwork\0.3\System\MfGenericList.ahk
Clear();95;Mini_Framwork\0.3\System\MfHashTable.ahk
Clear();84;Mini_Framwork\0.3\System\MfList.ahk
Clear();81;Mini_Framwork\0.3\System\MfListBase.ahk
Clear();45;Mini_Framwork\0.3\System\MfQueue.ahk
Clear();45;Mini_Framwork\0.3\System\MfStack.ahk
clear();694;taskbarInterface.ahk
clear();706;taskbarInterface_v2.ahk
Clear();288;WinClip.ahk
Clear();568;WPD.ahk
Clear();820;WPD.ahk
Clear();1128;WPD.ahk
Clear();1171;WPD.ahk
Clear(D2D1_COLOR_F=0);584;d2d1.ahk
clearActiveAlt();865;taskbarInterface.ahk
clearActiveAlt();878;taskbarInterface_v2.ahk
CLEARALL();242;_Scintilla.ahk
CLEARALLCMDKEYS();245;_Scintilla.ahk
ClearArray(p_ArrayName,p_Start=0,p_End=0);36;ClearArray.ahk
ClearClipboard();235;Default.ahk
CLEARCMDKEY(keyDefinition=0);248;_Scintilla.ahk
CLEARDOCUMENTSTYLE();251;_Scintilla.ahk
clearInterface();989;taskbarInterface.ahk
clearInterface();1003;taskbarInterface_v2.ahk
CLEARREGISTEREDIMAGES();254;_Scintilla.ahk
CLEARSELECTIONS();257;_Scintilla.ahk
"Click(xCoord, yCoord, options=""Left Mouse"")";385;FcnLib.ahk
ClickButton(button);1397;FcnLib.ahk
"ClickIfImageSearch(filename, clickOptions=""left Mouse"")";211;FcnLib.ahk
"ClipSet(Task,ClipNum=1,SendMethod=1,Value="""")";112;Default.ahk
close_process_handle(hProcess);45;memlib (2).ahk
"CloseAllAhks(excludeRegEx="""", startAhkAfter="""")";1233;FcnLib.ahk
CloseAllTabs();29;FcnLib-Opera.ahk
CloseClipboard();66;WinClipAPI.ahk
CloseDifficultApps();571;FcnLib.ahk
CloseDifficultAppsAllScreens();635;FcnLib.ahk
CloseFile(_handle);89;BinReadWrite.ahk
CloseHandle();654;cFTP.ahk
CloseHandle();612;FTPv2.ahk
closeHandle(hProcess);394;classMemory.ahk
CloseMemory(hwnd);21;MemLib.ahk
CloseTrayTip(text);1047;FcnLib.ahk
"CloseWin(titleofwin, options="""")";136;FcnLib.ahk
"CloseWindowGracefully(title, text="""", xClickToClose="""", yClickToClose="""")";422;FcnLib.ahk
"CLR_CompileAssembly(Code, References, ProviderAssembly, ProviderType, pAppDomain=0, FileName="""", CompilerOptions="""")";169;CLR.ahk
"CLR_CompileC#(Code, References, pAppDomain=0, FileName="""", CompilerOptions="""")";147;CLR.ahk
"CLR_CompileVB(Code, References, pAppDomain=0, FileName="""", CompilerOptions="""")";153;CLR.ahk
"CLR_CreateObject(pAssembly, sType, Type1="""", Arg1="""", Type2="""", Arg2="""", Type3="""", Arg3="""", Type4="""", Arg4="""", Type5="""", Arg5="""", Type6="""", Arg6="""", Type7="""", Arg7="""", Type8="""", Arg8="""", Type9="""", Arg9="""")";61;CLR.ahk
CLR_GetDefaultDomain();163;CLR.ahk
CLR_LoadLibrary(sLibrary, pAppDomain=0);89;CLR.ahk
CLR_Start();14;CLR.ahk
"CLR_StartDomain(ByRef pAppDomain, BaseDirectory="""")";24;CLR.ahk
CLR_Stop();49;CLR.ahk
CLR_StopDomain(pAppDomain);43;CLR.ahk
CLSID4ProgID(ByRef CLSID, sProgID, nOffset = 0);131;CoHelper.ahk
CMDret(CMD);163;OCR.ahk
CMDret_RunReturn(CMDin, WorkingDir=0);26;CMDret.ahk
CMDret_RunReturn(CMDin, WorkingDir=0);6;MISC Functions.ahk
"CMDret_Stream(CMDin, CMDname="""", WorkingDir=0)";33;CMDret_stream.ahk
"CMenu(HCtrl, MenuName="""", Sub="""")";26;CMenu.ahk
CMenu_wndProc(Hwnd, UMsg, WParam, LParam);36;CMenu.ahk
CoCreateGuid();161;CoHelper.ahk
CoInitialize();175;CoHelper.ahk
CoInitialize();1019;taskbarInterface.ahk
CoInitialize();1033;taskbarInterface_v2.ahk
Collapse();1658;uia.ahk
Collapse();453;UIA_Interface.ahk
Collapse();1220;UIA2.ahk
"Color(WindowColor = """", ControlColor = """")";228;CGui.ahk
ColorIsDarkerThan(color1, color2);341;FcnLib.ahk
colorMap();621;SubTitleClass.ahk
ColorWindowProc(hwnd, msg, wParam, lParam);96;chooseColor.ahk
COLOURISE(startPos=0,endPos=0);260;_Scintilla.ahk
ColURL_ComUnHthml(sHtml);63;ColURL.ahk
"ColURL_ComUrl2Mhtml(sURL, sDestPath="""", nFlags=0)";51;ColURL.ahk
ColURL_OpenURL(sURL);16;ColURL.ahk
COM_AccessibleChildren(pacc, cChildren, ByRef varChildren);482;com (2).ahk
COM_AccessibleChildren(pacc, cChildren, ByRef varChildren);435;COM (3).ahk
COM_AccessibleChildren(pacc, cChildren, ByRef varChildren);480;com.ahk
"COM_AccessibleObjectFromEvent(hWnd, idObject, idChild, ByRef _idChild_="""")";489;com (2).ahk
"COM_AccessibleObjectFromEvent(hWnd, idObject, idChild, ByRef _idChild_="""")";442;COM (3).ahk
"COM_AccessibleObjectFromEvent(hWnd, idObject, idChild, ByRef _idChild_="""")";487;com.ahk
"COM_AccessibleObjectFromPoint(x, y, ByRef _idChild_="""")";496;com (2).ahk
"COM_AccessibleObjectFromPoint(x, y, ByRef _idChild_="""")";449;COM (3).ahk
"COM_AccessibleObjectFromPoint(x, y, ByRef _idChild_="""")";494;com.ahk
"COM_AccessibleObjectFromWindow(hWnd, idObject=-4, IID = """")";503;com (2).ahk
"COM_AccessibleObjectFromWindow(hWnd, idObject=-4, IID = """")";456;COM (3).ahk
"COM_AccessibleObjectFromWindow(hWnd, idObject=-4, IID = """")";501;com.ahk
COM_AccInit();468;com (2).ahk
COM_AccInit();423;COM (3).ahk
COM_AccInit();466;com.ahk
COM_AccTerm();475;com (2).ahk
COM_AccTerm();430;COM (3).ahk
COM_AccTerm();473;com.ahk
COM_ActiveXObject(ProgID);353;com (2).ahk
COM_ActiveXObject(ProgID);351;com.ahk
COM_AddRef(ppv);28;com (2).ahk
COM_AddRef(ppv);29;COM (3).ahk
COM_AddRef(ppv);26;com.ahk
COM_Advise(pcp, psink);61;com (2).ahk
COM_Advise(pcp, psink);67;COM (3).ahk
COM_Advise(pcp, psink);59;com.ahk
"COM_Ansi2Unicode(ByRef sString, ByRef wString, nSize = """")";602;com (2).ahk
"COM_Ansi2Unicode(ByRef sString, ByRef wString, nSize = """")";598;com.ahk
"COM_Ansi4Unicode(pString, nSize = """")";584;com (2).ahk
"COM_Ansi4Unicode(pString, nSize = """")";580;com.ahk
"COM_AtlAxAttachControl(pdsp, hWnd, Version = """")";546;com (2).ahk
"COM_AtlAxAttachControl(pdsp, hWnd, Version = """")";509;COM (3).ahk
"COM_AtlAxAttachControl(pdsp, hWnd, Version = """")";542;com.ahk
"COM_AtlAxCreateContainer(hWnd, l, t, w, h, Name = """", Version = """")";571;com (2).ahk
"COM_AtlAxCreateContainer(hWnd, l, t, w, h, Name = """", Version = """")";521;COM (3).ahk
"COM_AtlAxCreateContainer(hWnd, l, t, w, h, Name = """", Version = """")";567;com.ahk
"COM_AtlAxCreateControl(hWnd, Name, Version = """")";551;com (2).ahk
"COM_AtlAxCreateControl(hWnd, Name, Version = """")";515;COM (3).ahk
"COM_AtlAxCreateControl(hWnd, Name, Version = """")";547;com.ahk
"COM_AtlAxGetContainer(pdsp, bCtrl = """")";576;com (2).ahk
"COM_AtlAxGetContainer(pdsp, bCtrl = """")";526;COM (3).ahk
"COM_AtlAxGetContainer(pdsp, bCtrl = """")";572;com.ahk
"COM_AtlAxGetControl(hWnd, Version = """")";557;com (2).ahk
"COM_AtlAxGetControl(hWnd, Version = """")";503;COM (3).ahk
"COM_AtlAxGetControl(hWnd, Version = """")";553;com.ahk
"COM_AtlAxGetHost(hWnd, Version = """")";564;com (2).ahk
"COM_AtlAxGetHost(hWnd, Version = """")";497;COM (3).ahk
"COM_AtlAxGetHost(hWnd, Version = """")";560;com.ahk
"COM_AtlAxWinInit(Version = """")";531;com (2).ahk
"COM_AtlAxWinInit(Version = """")";485;COM (3).ahk
"COM_AtlAxWinInit(Version = """")";527;com.ahk
"COM_AtlAxWinTerm(Version = """")";539;com (2).ahk
"COM_AtlAxWinTerm(Version = """")";492;COM (3).ahk
"COM_AtlAxWinTerm(Version = """")";535;com.ahk
COM_CLSID4ProgID(ByRef CLSID, ProgID);373;com (2).ahk
COM_CLSID4ProgID(ByRef CLSID, ProgID);333;COM (3).ahk
COM_CLSID4ProgID(ByRef CLSID, ProgID);371;com.ahk
COM_CoCreateGuid();405;com (2).ahk
COM_CoCreateGuid();365;COM (3).ahk
COM_CoCreateGuid();403;com.ahk
COM_CoInitialize();422;com (2).ahk
COM_CoInitialize();372;COM (3).ahk
COM_CoInitialize();420;com.ahk
"COM_ConnectObject(pdisp, prefix = """", DIID = """")";282;COM (3).ahk
"COM_ConnectObject(psource, prefix = """", DIID = """")";325;com (2).ahk
"COM_ConnectObject(psource, prefix = """", DIID = """")";323;com.ahk
COM_CoTaskMemAlloc(cb);412;com (2).ahk
COM_CoTaskMemAlloc(cb);382;COM (3).ahk
COM_CoTaskMemAlloc(cb);410;com.ahk
COM_CoTaskMemFree(pv);417;com (2).ahk
COM_CoTaskMemFree(pv);387;COM (3).ahk
COM_CoTaskMemFree(pv);415;com.ahk
COM_CoUninitialize();427;com (2).ahk
COM_CoUninitialize();377;COM (3).ahk
COM_CoUninitialize();425;com.ahk
COM_CreateIDispatch();235;com (2).ahk
COM_CreateIDispatch();193;COM (3).ahk
COM_CreateIDispatch();233;com.ahk
"COM_CreateInstance(CLSID, IID = """", CLSCTX = 21)";326;COM (3).ahk
"COM_CreateObject(CLSID, IID = """", CLSCTX = 21)";305;COM (3).ahk
"COM_CreateObject(CLSID, IID = """", CLSCTX = 5)";347;com (2).ahk
"COM_CreateObject(CLSID, IID = """", CLSCTX = 5)";345;com.ahk
COM_DisconnectObject(psink);342;com (2).ahk
COM_DisconnectObject(psink);300;COM (3).ahk
COM_DisconnectObject(psink);340;com.ahk
COM_DispGetParam(pDispParams, Position = 0, vt = 8);207;com (2).ahk
COM_DispGetParam(pDispParams, Position = 0, vt = 8);165;COM (3).ahk
COM_DispGetParam(pDispParams, Position = 0, vt = 8);205;com.ahk
"COM_DispInterface(this, prm1="""", prm2="""", prm3="""", prm4="""", prm5="""", prm6="""", prm7="""", prm8="""")";187;com (2).ahk
"COM_DispInterface(this, prm1="""", prm2="""", prm3="""", prm4="""", prm5="""", prm6="""", prm7="""", prm8="""")";145;COM (3).ahk
"COM_DispInterface(this, prm1="""", prm2="""", prm3="""", prm4="""", prm5="""", prm6="""", prm7="""", prm8="""")";185;com.ahk
COM_DispSetParam(val, pDispParams, Position = 0, vt = 8);214;com (2).ahk
COM_DispSetParam(val, pDispParams, Position = 0, vt = 8);172;COM (3).ahk
COM_DispSetParam(val, pDispParams, Position = 0, vt = 8);212;com.ahk
"COM_Enumerate(penum, ByRef Result, ByRef vt = """")";72;com (2).ahk
"COM_Enumerate(penum, ByRef Result, ByRef vt = """")";78;COM (3).ahk
"COM_Enumerate(penum, ByRef Result, ByRef vt = """")";70;com.ahk
COM_Enwrap(obj, vt = 9);545;COM (3).ahk
"COM_Error(hr = """", lr = """", pei = """", name = """")";219;com (2).ahk
"COM_Error(hr = """", lr = """", pei = """", name = """")";177;COM (3).ahk
"COM_Error(hr = """", lr = """", pei = """", name = """")";217;com.ahk
COM_FindConnectionPoint(pdp, DIID);46;com (2).ahk
COM_FindConnectionPoint(pdp, DIID);52;COM (3).ahk
COM_FindConnectionPoint(pdp, DIID);44;com.ahk
COM_GetActiveObject(CLSID);318;COM (3).ahk
COM_GetActiveObject(ProgID);365;com (2).ahk
COM_GetActiveObject(ProgID);363;com.ahk
COM_GetConnectionInterface(pcp);54;com (2).ahk
COM_GetConnectionInterface(pcp);60;COM (3).ahk
COM_GetConnectionInterface(pcp);52;com.ahk
COM_GetDefaultEvents(pdisp);263;com (2).ahk
COM_GetDefaultEvents(pdisp);221;COM (3).ahk
COM_GetDefaultEvents(pdisp);261;com.ahk
COM_GetDefaultInterface(pdisp);247;com (2).ahk
COM_GetDefaultInterface(pdisp);205;COM (3).ahk
COM_GetDefaultInterface(pdisp);245;com.ahk
COM_GetGuidOfName(pdisp, Name);300;com (2).ahk
COM_GetGuidOfName(pdisp, Name);258;COM (3).ahk
COM_GetGuidOfName(pdisp, Name);298;com.ahk
COM_GetObject(Moniker);359;com (2).ahk
COM_GetObject(Moniker);357;com.ahk
COM_GetObject(Name);311;COM (3).ahk
COM_GetRoleText(nRole);515;com (2).ahk
COM_GetRoleText(nRole);469;COM (3).ahk
COM_GetRoleText(nRole);513;com.ahk
COM_GetStateText(nState);523;com (2).ahk
COM_GetStateText(nState);477;COM (3).ahk
COM_GetStateText(nState);520;com.ahk
COM_GetTypeInfoOfGuid(pdisp, GUID);314;com (2).ahk
COM_GetTypeInfoOfGuid(pdisp, GUID);272;COM (3).ahk
COM_GetTypeInfoOfGuid(pdisp, GUID);312;com.ahk
COM_GUID4String(ByRef CLSID, String);380;com (2).ahk
COM_GUID4String(ByRef CLSID, String);346;COM (3).ahk
COM_GUID4String(ByRef CLSID, String);378;com.ahk
COM_Init();7;com (2).ahk
COM_Init();7;com.ahk
"COM_Init(bUn = """")";7;COM (3).ahk
"COM_Invoke(pdsp,name="""",prm0=""vT_NoNe"",prm1=""vT_NoNe"",prm2=""vT_NoNe"",prm3=""vT_NoNe"",prm4=""vT_NoNe"",prm5=""vT_NoNe"",prm6=""vT_NoNe"",prm7=""vT_NoNe"",prm8=""vT_NoNe"",prm9=""vT_NoNe"")";80;com (2).ahk
"COM_Invoke(pdsp,name="""",prm0=""vT_NoNe"",prm1=""vT_NoNe"",prm2=""vT_NoNe"",prm3=""vT_NoNe"",prm4=""vT_NoNe"",prm5=""vT_NoNe"",prm6=""vT_NoNe"",prm7=""vT_NoNe"",prm8=""vT_NoNe"",prm9=""vT_NoNe"")";86;COM (3).ahk
"COM_Invoke(pdsp,name="""",prm0=""vT_NoNe"",prm1=""vT_NoNe"",prm2=""vT_NoNe"",prm3=""vT_NoNe"",prm4=""vT_NoNe"",prm5=""vT_NoNe"",prm6=""vT_NoNe"",prm7=""vT_NoNe"",prm8=""vT_NoNe"",prm9=""vT_NoNe"")";78;com.ahk
"COM_Invoke_(pdsp,name,typ0="""",prm0="""",typ1="""",prm1="""",typ2="""",prm2="""",typ3="""",prm3="""",typ4="""",prm4="""",typ5="""",prm5="""",typ6="""",prm6="""",typ7="""",prm7="""",typ8="""",prm8="""",typ9="""",prm9="""")";135;com (2).ahk
"COM_Invoke_(pdsp,name,typ0="""",prm0="""",typ1="""",prm1="""",typ2="""",prm2="""",typ3="""",prm3="""",typ4="""",prm4="""",typ5="""",prm5="""",typ6="""",prm6="""",typ7="""",prm7="""",typ8="""",prm8="""",typ9="""",prm9="""")";133;com.ahk
"COM_InvokeSet(pdsp,name,prm0,prm1=""vT_NoNe"",prm2=""vT_NoNe"",prm3=""vT_NoNe"",prm4=""vT_NoNe"",prm5=""vT_NoNe"",prm6=""vT_NoNe"",prm7=""vT_NoNe"",prm8=""vT_NoNe"",prm9=""vT_NoNe"")";140;COM (3).ahk
COM_IsEqualGUID(pGUID1, pGUID2);400;com (2).ahk
COM_IsEqualGUID(pGUID1, pGUID2);360;COM (3).ahk
COM_IsEqualGUID(pGUID1, pGUID2);398;com.ahk
"COM_Parameter(typ, prm = """", nam = """")";540;COM (3).ahk
COM_ProgID4CLSID(pCLSID);387;com (2).ahk
COM_ProgID4CLSID(pCLSID);340;COM (3).ahk
COM_ProgID4CLSID(pCLSID);385;com.ahk
"COM_QueryInterface(ppv, IID = """")";22;com (2).ahk
"COM_QueryInterface(ppv, IID = """")";23;COM (3).ahk
"COM_QueryInterface(ppv, IID = """")";20;com.ahk
"COM_QueryService(ppv, SID, IID = """")";38;com (2).ahk
"COM_QueryService(ppv, SID, IID = """")";45;COM (3).ahk
"COM_QueryService(ppv, SID, IID = """")";36;com.ahk
COM_Release(ppv);33;com (2).ahk
COM_Release(ppv);34;COM (3).ahk
COM_Release(ppv);31;com.ahk
COM_SafeArrayDestroy(psar);447;com (2).ahk
COM_SafeArrayDestroy(psar);402;COM (3).ahk
COM_SafeArrayDestroy(psar);445;com.ahk
"COM_ScriptControl(sCode, sEval = """", sName = """", Obj = """", bGlobal = """")";534;COM (3).ahk
"COM_ScriptControl(sCode, sLang = """", bEval = False, sFunc = """", sName = """", pdisp = 0, bGlobal = False)";621;com (2).ahk
"COM_ScriptControl(sCode, sLang = """", bEval = False, sFunc = """", sName = """", pdisp = 0, bGlobal = False)";617;com.ahk
COM_String4GUID(pGUID);393;com (2).ahk
COM_String4GUID(pGUID);353;COM (3).ahk
COM_String4GUID(pGUID);391;com.ahk
COM_SysAllocString(astr);432;com (2).ahk
COM_SysAllocString(astr);430;com.ahk
COM_SysAllocString(str);392;COM (3).ahk
COM_SysFreeString(bstr);437;com (2).ahk
COM_SysFreeString(bstr);435;com.ahk
COM_SysFreeString(pstr);397;COM (3).ahk
COM_SysString(ByRef wString, sString);462;com (2).ahk
COM_SysString(ByRef wString, sString);417;COM (3).ahk
COM_SysString(ByRef wString, sString);460;com.ahk
COM_SysStringLen(bstr);442;com (2).ahk
COM_SysStringLen(bstr);440;com.ahk
COM_Term();12;com (2).ahk
COM_Term();13;COM (3).ahk
COM_Term();11;com.ahk
com_type(ByRef v);11;type.ahk
COM_Unadvise(pcp, nCookie);67;com (2).ahk
COM_Unadvise(pcp, nCookie);73;COM (3).ahk
COM_Unadvise(pcp, nCookie);65;com.ahk
"COM_Unicode2Ansi(ByRef wString, ByRef sString, nSize = """")";611;com (2).ahk
"COM_Unicode2Ansi(ByRef wString, ByRef sString, nSize = """")";607;com.ahk
"COM_Unicode4Ansi(ByRef wString, sString, nSize = """")";593;com (2).ahk
"COM_Unicode4Ansi(ByRef wString, sString, nSize = """")";589;com.ahk
COM_Unwrap(obj);551;COM (3).ahk
COM_VariantChangeType(pvarDst, pvarSrc, vt = 8);457;com (2).ahk
COM_VariantChangeType(pvarDst, pvarSrc, vt = 8);412;COM (3).ahk
COM_VariantChangeType(pvarDst, pvarSrc, vt = 8);455;com.ahk
COM_VariantClear(pvar);452;com (2).ahk
COM_VariantClear(pvar);407;COM (3).ahk
COM_VariantClear(pvar);450;com.ahk
COM_VTable(ppv, idx);17;com (2).ahk
COM_VTable(ppv, idx);18;COM (3).ahk
COM_VTable(ppv, idx);15;com.ahk
COM_WindowFromAccessibleObject(pacc);509;com (2).ahk
COM_WindowFromAccessibleObject(pacc);463;COM (3).ahk
COM_WindowFromAccessibleObject(pacc);507;com.ahk
CombineWithGeometry(inputGeometry,combineMode,inputGeometryTransform,flatteningTolerance);947;d2d1.ahk
ComboX_Hide( HCtrl );23;ComboX.ahk
"ComboX_Set( HCtrl, Options="""", Handler="""")";57;ComboX.ahk
"ComboX_setPosition( HCtrl, Pos, Hwnd, W="""", H="""" )";144;ComboX.ahk
"ComboX_Show( HCtrl, X="""", Y="""", W="""", H="""" )";85;ComboX.ahk
ComboX_Toggle(HCtrl);108;ComboX.ahk
ComboX_wndProc(Hwnd, UMsg, WParam, LParam);114;ComboX.ahk
commaFormat(num);1;Mini_Libs\commaFormat.ahk
CommandPromptCopy();1515;FcnLib.ahk
Commit();37;dcomp.ahk
Commit();671;wic.ahk
Commit(grfCommitFlags);61;Base.ahk
CommonTypes( p_InputList );156;TypeFunctions.ahk
"COMo(param, sfn=""CreateObject"")";24;COMo.ahk
"COMo_Call(obj, func, prm1=""vT_NoNe"",prm2=""vT_NoNe"",prm3=""vT_NoNe"",prm4=""vT_NoNe"",prm5=""vT_NoNe"",prm6=""vT_NoNe"")";13;COMo.ahk
COMo_Delete(obj);30;COMo.ahk
COMo_GetVal(obj, name);2;COMo.ahk
COMo_SetVal(obj, name, val);10;COMo.ahk
Compare(range);2565;uia.ahk
Compare(range);1918;UIA2.ahk
Compare(t1, t2);316;Mini_Framwork\0.3\System\MfTimeSpan.ahk
Compare(x, y);36;Mini_Framwork\0.3\System\MfOrdinalComparer.ahk
CompareElements(e1,e2);60;UIA_Interface.ahk
CompareElements(el1,el2);12;uia.ahk
CompareElements(el1,el2);31;UIA2.ahk
CompareEndpoints(srcEndPoint,range,targetEndPoint);2574;uia.ahk
CompareEndpoints(srcEndPoint,range,targetEndPoint);1924;UIA2.ahk
CompareRuntimeIds(r1,r2);63;UIA_Interface.ahk
CompareRuntimeIds(runtimeId1,runtimeId2);22;uia.ahk
CompareRuntimeIds(runtimeId1,runtimeId2);37;UIA2.ahk
compareSurfaceData(byref dump, byref desc, samples = 8, optimized = False);238;DDSFile.ahk
CompareTo(obj);74;Mini_Framwork\0.3\System\MfAttribute.ahk
CompareTo(obj);353;Mini_Framwork\0.3\System\MfBool.ahk
CompareTo(obj);357;Mini_Framwork\0.3\System\MfByte.ahk
CompareTo(obj);445;Mini_Framwork\0.3\System\MfChar.ahk
CompareTo(obj);447;Mini_Framwork\0.3\System\MfEnum.ahk
CompareTo(obj);1709;Mini_Framwork\0.3\System\MfEnum.ahk
CompareTo(obj);135;Mini_Framwork\0.3\System\MfException.ahk
CompareTo(obj);414;Mini_Framwork\0.3\System\MfFloat.ahk
CompareTo(obj);347;Mini_Framwork\0.3\System\MfInt16.ahk
CompareTo(obj);347;Mini_Framwork\0.3\System\MfInt64.ahk
CompareTo(obj);443;Mini_Framwork\0.3\System\MfInteger.ahk
CompareTo(obj);123;Mini_Framwork\0.3\System\MfObject.ahk
CompareTo(obj);480;Mini_Framwork\0.3\System\MfString.ahk
CompareTo(obj);363;Mini_Framwork\0.3\System\MfTimeSpan.ahk
CompareTo(obj);223;Mini_Framwork\0.3\System\MfType.ahk
