WM_ENTERMENULOOP,0x211,529
WM_EXITMENULOOP,0x212,530
WM_NEXTMENU,0x213,531
WM_SIZING,0x214,532
WM_CAPTURECHANGED,0x215,533
WM_MOVING,0x216,534
WM_POWERBROADCAST,0x218,536
WM_DEVICECHANGE,0x219,537
WM_MDICREATE,0x220,544
WM_MDIDESTROY,0x221,545
WM_MDIACTIVATE,0x222,546
WM_MDIRESTORE,0x223,547
WM_MDINEXT,0x224,548
WM_MDIMAXIMIZE,0x225,549
WM_MDITILE,0x226,550
WM_MDICASCADE,0x227,551
WM_MDIICONARRANGE,0x228,552
WM_MDIGETACTIVE,0x229,553
WM_MDISETMENU,0x230,560
WM_ENTERSIZEMOVE,0x231,561
WM_EXITSIZEMOVE,0x232,562
WM_DROPFILES,0x233,563
WM_MDIREFRESHMENU,0x234,564
WM_TOUCH,0x240,576
WM_IME_SETCONTEXT,0x281,641
WM_IME_NOTIFY,0x282,642
WM_IME_CONTROL,0x283,643
WM_IME_COMPOSITIONFULL,0x284,644
WM_IME_SELECT,0x285,645
WM_IME_CHAR,0x286,646
WM_IME_REQUEST,0x288,648
WM_IME_KEYDOWN,0x290,656
WM_IME_KEYUP,0x291,657
WM_NCMOUSEHOVER,0x2A0,672
WM_MOUSEHOVER,0x2A1,673
WM_NCMOUSELEAVE,0x2A2,674
WM_MOUSELEAVE,0x2A3,675
WM_WTSSESSION_CHANGE,0x2B1,689
WM_CUT,0x300,768
WM_COPY,0x301,769
WM_PASTE,0x302,770
WM_CLEAR,0x303,771
WM_UNDO,0x304,772
WM_RENDERFORMAT,0x305,773
WM_RENDERALLFORMATS,0x306,774
WM_DESTROYCLIPBOARD,0x307,775
WM_DRAWCLIPBOARD,0x308,776
WM_PAINTCLIPBOARD,0x309,777
WM_VSCROLLCLIPBOARD,0x30A,778
WM_SIZECLIPBOARD,0x30B,779
WM_ASKCBFORMATNAME,0x30C,780
WM_CHANGECBCHAIN,0x30D,781
WM_HSCROLLCLIPBOARD,0x30E,782
WM_QUERYNEWPALETTE,0x30F,783
WM_PALETTEISCHANGING,0x310,784
WM_PALETTECHANGED,0x311,785
WM_HOTKEY,0x312,786
WM_PRINT,0x317,791
WM_PRINTCLIENT,0x318,792
WM_APPCOMMAND,0x319,793
WM_THEMECHANGED,0x31A,794
WM_CLIPBOARDUPDATE,0x31D,797
WM_DWMCOMPOSITIONCHANGED,0x31E,798
WM_DWMNCRENDERINGCHANGED,0x31F,799
WM_DWMCOLORIZATIONCOLORCHANGED,0x320,800
WM_DWMWINDOWMAXIMIZEDCHANGE,0x321,801
WM_DWMSENDICONICTHUMBNAIL,0x323,803
WM_DWMSENDICONICLIVEPREVIEWBITMAP,0x326,806
WM_GETTITLEBARINFOEX,0x33F,831
WM_QUERYAFXWNDPROC,0x360,864
WM_SIZEPARENT,0x361,865
WM_SETMESSAGESTRING,0x362,866
WM_IDLEUPDATECMDUI,0x363,867
WM_INITIALUPDATE,0x364,868
WM_COMMANDHELP,0x365,869
WM_HELPHITTEST,0x366,870
WM_EXITHELPMODE,0x367,871
WM_RECALCPARENT,0x368,872
WM_SIZECHILD,0x369,873
WM_KICKIDLE,0x36A,874
WM_QUERYCENTERWND,0x36B,875
WM_DISABLEMODAL,0x36C,876
WM_FLOATSTATUS,0x36D,877
WM_ACTIVATETOPLEVEL,0x36E,878
WM_SOCKET_NOTIFY,0x373,883
WM_SOCKET_DEAD,0x374,884
WM_POPMESSAGESTRING,0x375,885
WM_QUEUE_SENTINEL,0x379,889
WM_DDE_INITIATE,0x3E0,992
WM_DDE_TERMINATE,0x3E1,993
WM_DDE_ADVISE,0x3E2,994
WM_DDE_UNADVISE,0x3E3,995
WM_DDE_ACK,0x3E4,996
WM_DDE_DATA,0x3E5,997
WM_DDE_REQUEST,0x3E6,998
WM_DDE_POKE,0x3E7,999
WM_DDE_EXECUTE,0x3E8,1000
WM_PSD_PAGESETUPDLG,0x400,1024
WM_CHOOSEFONT_GETLOGFONT,0x401,1025
WM_PSD_FULLPAGERECT,0x401,1025
WM_PSD_MINMARGINRECT,0x402,1026
